pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
25,北海,1,46,良,103,,13,,2014-04-07,53,8
28,北海,1.3,56,良,31,,8,,2014-03-05,53,5
28,北海,1.1,63,良,76,,10,,2014-03-06,56,5
28,保定,0.5,60,良,150,,23,,2015-07-04,92,28
56,保定,0.8,90,轻度污染,204,,20,,2015-07-05,140,31
16,北海,1.7,42,优,73,,7,,2014-02-05,42,6
13,北海,1.7,46,优,59,,8,,2014-02-06,46,6
149,北海,1.6,187,中度污染,165,,31,,2014-01-05,198,28
89,北海,1.3,130,轻度污染,152,,15,,2014-01-06,117,17
94,安阳,2,162,轻度污染,53,,110,,2014-03-06,124,60
61,安阳,2.7,0,良,64,,37,,2014-02-09,83,30
59,安阳,3.8,74,良,86,,38,,2014-02-10,95,39
85,安阳,2,90,轻度污染,56,,38,,2014-02-11,113,41
161,安阳,4.6,216,重度污染,31,,148,,2014-01-05,211,102
198,安阳,5.8,251,重度污染,16,,172,,2014-01-06,248,122
133,安阳,4.3,186,中度污染,32,,94,,2013-12-04,176,86
119,安阳,2.3,159,中度污染,53,,95,,2013-11-05,156,81
0,安阳,1.9,172,轻度污染,178,,38,,2013-10-05,117,53
0,安阳,2.8,230,轻度污染,146,,106,,2013-10-06,140,80
0,安阳,2.5,66,良,0,,75,,2013-0
41,安阳,1,76,良,108,,20,,2017-08-27,63,36
104,蚌埠,1,152,轻度污染,117,,25,,2017-03-12,133,40
40,蚌埠,0.7,105,良,76,,13,,2017-03-13,78,30
44,蚌埠,0.7,91,良,110,,25,,2017-03-14,70,45
53,蚌埠,0.8,96,良,128,,23,,2017-03-15,74,44
67,蚌埠,0.8,104,良,135,,23,,2017-03-16,87,42
85,蚌埠,0.9,123,轻度污染,151,,23,,2017-03-17,111,49
48,安阳,1.4,90,轻度污染,172,,15,,2017-07-25,111,32
53,安阳,1.4,88,良,155,,16,,2017-07-26,96,30
38,安阳,1.7,58,良,71,,14,,2017-07-27,54,38
37,安阳,2,56,良,96,,24,,2017-07-28,53,36
28,安阳,1.5,38,优,73,,10,,2017-07-29,43,34
48,安阳,2.2,81,良,145,,17,,2017-07-30,88,38
54,安阳,1.8,107,中度污染,236,,16,,2017-06-26,171,38
61,安阳,1.3,116,中度污染,244,,12,,2017-06-27,179,39
54,安阳,1.3,104,中度污染,216,,10,,2017-06-28,151,39
48,安阳,1.3,94,轻度污染,190,,13,,2017-06-29,128,40
71,蚌埠,1,137,良,61,,30,,2017-11-24,95,70
51,蚌埠,0.8,118,良,78,,26,,2017-11-25,84,64
84,蚌埠,1,143,轻度污染,69,,26,,2017-11-26,113,59
52,蚌埠,1,94,良,84,,26,,2017-11-27,71,54
76,蚌埠,1.2,122,轻度污染,51,,35,,2017-12-19,102,66
74,蚌埠,1,124,良,55,,28,,2017-12-20,99,64
76,蚌埠,1,123,轻度污染,69,,31,,2017-12-21,102,55
94,蚌埠,1.2,138,轻度污染,52,,35,,2017-12-22,124,77
187,蚌埠,1.7,236,重度污染,29,,38,,2017-12-23,237,104
152,蚌埠,1.4,220,重度污染,66,,25,,2017-12-24,202,62
59,蚌埠,0.9,129,良,68,,26,,2017-12-25,90,54
55,蚌埠,0.9,96,轻度污染,194,,22,,2017-09-17,130,43
58,蚌埠,1,110,轻度污染,190,,24,,2017-09-18,127,41
75,蚌埠,1.2,136,良,135,,32,,2017-09-19,98,41
65,蚌埠,0.9,85,良,102,,17,,2017-09-20,87,30
56,蚌埠,0.9,79,良,136,,24,,2017-09-21,80,32
50,蚌埠,0.7,85,良,119,,31,,2017-10-25,73,60
48,安阳,1.4,137,中度污染,258,,34,,2017-05-27,193,48
46,安阳,1.6,145,重度污染,286,,28,,2017-05-28,204,44
0,安阳,1.8,0,无,248,,27,,2017-05-29,0,41
0,安阳,1.6,0,无,240,,30,,2017-05-30,0,36
58,安阳,2.2,93,中度污染,261,,20,,2017-05-31,196,39
42,安阳,1.1,134,良,81,,32,,2017-04-25,92,42
61,安阳,1.8,124,良,134,,44,,2017-04-26,87,52
64,安阳,1.6,119,良,153,,35,,2017-04-27,95,48
56,安阳,1.2,127,良,157,,36,,2017-04-28,98,51
0,安阳,1.6,0,无,158,,46,,2017-04-29,0,54
50,安阳,1.4,75,良,41,,36,,2017-02-21,69,40
140,安阳,2.4,154,中度污染,32,,44,,2017-02-22,186,57
